Time,Acc
86.46,-0.002061
86.47,0.00294
86.48,0.004942
86.49,0.009944
86.5,0.009945
86.51,0.011947
86.52,0.007949
86.53,0.010951
86.54,0.006952
86.55,0.004954
86.56,0.005956
86.57,-0.002043
86.58,-0.003041
86.59,-0.007039
86.6,-0.007038
86.61,-0.008036
86.62,-0.011034
86.63,-0.006033
86.64,-0.004031
86.65,0.000971
86.66,-0.003028
86.67,0.004974
86.68,0.010976
86.69,0.009978
86.7,0.005979
86.71,0.006981
86.72,0.001983
86.73,-0.002016
86.74,0.000986
86.75,-0.003012
86.76,-0.007011
86.77,-0.008009
86.78,-0.010007
86.79,-0.004006
86.8,-0.003004
86.81,-0.004002
86.82,-0.003001
86.83,-0.000999
86.84,0.005003
86.85,0.010005
86.86,0.008006
86.87,0.014008
86.88,0.01001
86.89,0.010011
86.9,0.005013
86.91,0.006015
86.92,-0.000984
86.93,0.001018
86.94,0.00102
86.95,-0.000979
86.96,-0.003977
86.97,-0.005975
86.98,-0.005974
86.99,-0.005972
87,-0.00197
87.01,-0.000969
87.02,0.003033
87.03,0.002035
87.04,0.007037
87.05,0.010038
87.06,0.00304
87.07,0.005042
87.08,-0.002957
87.09,-0.001955
87.1,-0.000953
87.11,-0.005952
87.12,-0.00995
87.13,-0.012948
87.14,-0.007947
87.15,-0.003945
87.16,-0.005943
87.17,-0.002942
87.18,-0.00794
87.19,-0.005938
87.2,-0.000936
87.21,0.005065
87.22,-0.000933
87.23,0.003069
87.24,0.00207
87.25,0.005072
87.26,0.003074
87.27,0.005075
87.28,-0.002923
87.29,-0.000921
87.3,-0.00392
87.31,-0.006918
87.32,-0.003916
87.33,-0.009915
87.34,-0.012913
87.35,-0.010911
87.36,-0.010909
87.37,-0.005908
87.38,-0.007906
87.39,-0.001904
87.4,-0.002903
87.41,0.005099
87.42,0.001101
87.43,0.005102
87.44,0.007104
87.45,0.007106
87.46,0.003107
87.47,-0.000891
87.48,0.006111
87.49,0.010112
87.5,0.005114
87.51,0.003116
87.52,0.002117
87.53,0.003119
87.54,0.007121
87.55,0.003123
87.56,0.003124
87.57,0.001126
87.58,0.001128
87.59,0.005129
87.6,0.003131
87.61,-0.002867
87.62,-0.000866
87.63,0.002136
87.64,0.005138
87.65,0.007139
87.66,0.002141
87.67,-0.001857
87.68,-0.001856
87.69,-0.000854
87.7,-0.005852
87.71,-0.00785
87.72,-0.009849
87.73,-0.010847
87.74,-0.009845
87.75,-0.006844
87.76,-0.001842
87.77,-0.00784
87.78,-0.003839
87.79,-0.007837
87.8,-0.001835
87.81,0.008166
87.82,0.008168
87.83,0.01017
87.84,0.010171
87.85,0.008173
87.86,0.010175
87.87,0.012177
87.88,0.010178
87.89,0.00718
87.9,-0.001818
87.91,-0.000817
87.92,0.003185
87.93,0.001187
87.94,-0.002812
87.95,-0.00581
87.96,-0.003808
87.97,0.002193
87.98,0.003195
87.99,0.007197
88,0.003198
88.01,0.0062
88.02,0.008202
88.03,0.003204
88.04,0.005205
88.05,0.002207
88.06,-0.000791
88.07,-0.00079
88.08,-0.001788
88.09,-0.005786
88.1,-0.007785
88.11,-0.009783
88.12,-0.000781
88.13,-0.00378
88.14,0.002222
88.15,0.002224
88.16,0.003225
88.17,0.011227
88.18,0.012229
88.19,0.01723
88.2,0.014232
88.21,0.012234
88.22,0.011236
88.23,0.010237
88.24,0.011239
88.25,0.006241
88.26,-0.000758
88.27,-0.006756
88.28,-0.006754
88.29,-0.005753
88.3,-0.011751
88.31,-0.005749
88.32,-0.006748
88.33,-0.001746
88.34,0.005256
88.35,0.005257
88.36,0.001259
88.37,0.005261
88.38,-0.001737
88.39,-0.001736
88.4,0.002266
88.41,-0.001732
88.42,-0.001731
88.43,-0.007729
88.44,-0.012727
88.45,-0.012726
88.46,-0.014724
88.47,-0.010722
88.48,-0.006721
88.49,-0.000719
88.5,0.001283
88.51,0.006284
88.52,0.012286
88.53,0.011288
88.54,0.01529
88.55,0.016291
88.56,0.017293
88.57,0.011295
88.58,0.012296
88.59,0.008298
88.6,0.0013
88.61,-0.001699
88.62,-0.003697
88.63,-0.003695
88.64,-0.003694
88.65,-0.003692
88.66,-0.00369
88.67,0.003311
88.68,0.005313
88.69,0.001315
88.7,0.005317
88.71,0.008318
88.72,0.00832
88.73,0.010322
88.74,0.007323
88.75,0.005325
88.76,0.001327
88.77,0.002328
88.78,-0.00067
88.79,0.001332
88.8,-0.003667
88.81,-0.007665
88.82,-0.001663
88.83,-0.000662
88.84,0.00234
88.85,0.002342
88.86,0.003343
88.87,0.005345
88.88,0.005347
88.89,0.007349
88.9,0.00635
88.91,0.008352
88.92,0.006354
88.93,0.005355
88.94,0.003357
88.95,-0.002641
88.96,-0.00264
88.97,-0.005638
88.98,-0.005636
88.99,-0.006635
89,-0.009633
89.01,-0.005631
89.02,-0.00363
89.03,-0.005628
89.04,-0.000626
89.05,0.001376
89.06,0.005377
89.07,0.010379
89.08,0.005381
89.09,0.002382
89.1,0.001384
89.11,0.002386
89.12,0.001387
89.13,0.001389
89.14,0.002391
89.15,-0.000608
89.16,0.002394
89.17,0.001396
89.18,0.005397
89.19,-0.000601
89.2,0.002401
89.21,0.003403
89.22,0.008404
89.23,0.006406
89.24,0.005408
89.25,0.003409
89.26,0.002411
89.27,0.006413
89.28,0.007414
89.29,0.007416
89.3,0.002418
89.31,0.002419
89.32,0.005421
89.33,0.003423
89.34,-0.000576
89.35,-0.001574
89.36,-0.002572
89.37,-0.00057
89.38,0.001431
89.39,-0.000567
89.4,-0.003565
89.41,-0.001564
89.42,0.001438
89.43,-0.00056
89.44,0.002441
89.45,-0.002557
89.46,-0.000555
89.47,-0.000554
89.48,-0.000552
89.49,0.00345
89.5,0.002451
89.51,0.005453
89.52,0.005455
89.53,0.005456
89.54,0.005458
89.55,-0.00054
89.56,0.003462
89.57,0.005463
89.58,0.002465
89.59,-0.000533
89.6,-0.003532
89.61,0.00347
89.62,-0.001528
89.63,-0.003527
89.64,0.001475
89.65,-0.000523
89.66,0.001478
89.67,0.00148
89.68,-0.002518
89.69,0.003483
89.7,-0.000515
89.71,-0.002513
89.72,0.001489
89.73,-0.00351
89.74,-0.001508
89.75,-0.001506
89.76,-0.000505
89.77,-0.000503
89.78,-0.003501
89.79,-0.0005
89.8,-0.002498
89.81,-0.003496
89.82,0.002505
89.83,0.005507
89.84,0.006509
89.85,0.00551
89.86,0.010512
89.87,0.008514
89.88,0.008516
89.89,0.010517
89.9,0.003519
89.91,0.007521
89.92,0.003522
89.93,0.001524
89.94,0.001526
89.95,-0.003473
89.96,-0.001471
89.97,0.005531
89.98,-0.002468
89.99,0.001534
90,0.001536
90.01,0.002537
90.02,0.005539
90.03,0.006541
90.04,0.002543
90.05,0.003544
90.06,0.005546
90.07,0.003548
90.08,-0.001451
90.09,0.001551
90.1,-0.003447
90.11,-0.001446
90.12,-0.005444
90.13,-0.010442
90.14,-0.006441
90.15,-0.003439
90.16,-0.005437
90.17,-0.003436
90.18,-0.005434
90.19,0.002568
90.2,0.006569
90.21,0.002571
90.22,0.002573
90.23,0.005575
90.24,0.003576
90.25,0.002578
90.26,0.00358
90.27,-0.000419
90.28,-0.002417
90.29,-0.002415
90.3,-0.003414
90.31,-0.003412
90.32,-0.00641
90.33,-0.003409
90.34,-0.003407
90.35,0.001595
90.36,0.007596
90.37,0.005598
90.38,0.0076
90.39,0.010602
90.4,0.007603
90.41,0.010605
90.42,0.008607
90.43,0.010608
90.44,0.00561
90.45,-0.000388
90.46,0.001613
90.47,-0.002385
90.48,-0.003383
90.49,-0.006382
90.5,-0.00538
90.51,-0.001378
90.52,-0.002377
90.53,-0.001375
90.54,-0.000373
90.55,0.002629
90.56,0.00363
90.57,0.003632
90.58,0.005634
90.59,0.005635
90.6,0.003637
90.61,0.002639
90.62,0.00164
90.63,0.003642
90.64,0.001644
90.65,-0.000355
90.66,-0.001353
90.67,-0.000351
90.68,-0.00235
90.69,-0.001348
90.7,0.002654
90.71,-0.000344
90.72,0.003657
90.73,0.003659
90.74,0.007661
90.75,0.007662
90.76,0.006664
90.77,0.005666
90.78,0.003667
90.79,-0.000331
90.8,0.002671
90.81,-0.005328
90.82,-0.002326
90.83,-0.009324
90.84,-0.002323
90.85,-0.002321
90.86,-0.006319
90.87,-0.010318
90.88,-0.003316
90.89,-0.005314
90.9,0.001688
90.91,0.001689
90.92,0.005691
90.93,0.006693
90.94,0.008694
90.95,0.008696
90.96,0.010698
90.97,0.007699
90.98,0.002701
90.99,0.003703
91,0.002704
91.01,-0.001294
91.02,0.002708
91.03,-0.000291
91.04,0.002711
91.05,0.001713
91.06,-0.000285
91.07,0.002716
91.08,0.001718
91.09,0.00372
91.1,0.002721
91.11,0.001723
91.12,0.002725
91.13,0.005726
91.14,0.001728
91.15,0.00173
91.16,-0.001269
91.17,-0.001267
91.18,-0.002265
91.19,-0.005264
91.2,-0.002262
91.21,-0.00526
91.22,-0.001258
91.23,-0.002257
91.24,-0.003255
91.25,0.001747
91.26,0.003748
91.27,0.00275
91.28,-0.000248
91.29,0.002753
91.3,0.003755
91.31,0.003757
91.32,0.001758
91.33,0.00276
91.34,0.001762
91.35,0.003763
91.36,-0.001235
91.37,-0.002233
91.38,0.001768
91.39,-0.00623
91.4,-0.003228
91.41,-0.005226
91.42,-0.005225
91.43,-0.000223
91.44,-0.002221
91.45,-0.00222
91.46,-0.002218
91.47,-0.002216
91.48,-0.003215
91.49,0.005787
91.5,0.005789
91.51,0.00679
91.52,0.001792
91.53,0.002794
91.54,0.002795
91.55,0.008797
91.56,0.003799
91.57,0.006801
91.58,0.002802
91.59,0.005804
91.6,0.002806
91.61,-0.000193
91.62,0.002809
91.63,0.005811
91.64,0.005812
91.65,0.005814
91.66,0.005816
91.67,0.003817
91.68,-0.000181
91.69,0.003821
91.7,0.003822
91.71,0.006824
91.72,0.002826
91.73,-0.000172
91.74,-0.001171
91.75,-0.001169
91.76,-0.003167
91.77,-0.003166
91.78,-0.006164
91.79,-0.002162
91.8,-0.006161
91.81,-0.006159
91.82,-0.009157
91.83,-0.003156
91.84,-0.006154
91.85,-0.000152
91.86,-0.000151
91.87,-0.001149
91.88,-0.002147
91.89,-0.001145
91.9,-0.000144
91.91,-0.000142
91.92,-0.00014
91.93,-0.002139
91.94,-0.005137
91.95,-0.001135
91.96,-0.002134
91.97,-0.002132
91.98,-0.00513
91.99,-0.005129
92,-0.003127
92.01,-0.002125
92.02,-0.002124
92.03,-0.003122
92.04,-0.00512
92.05,-0.002119
92.06,-0.000117
92.07,0.002885
92.08,0.005887
92.09,0.001888
92.1,-0.00011
92.11,-0.000108
92.12,0.002893
92.13,0.001895
92.14,0.002897
92.15,-0.001102
92.16,0.0019
92.17,-0.000098
92.18,0.001903
92.19,-0.001095
92.2,0.002907
92.21,0.001908
92.22,0.00291
92.23,0.005912
92.24,0.002914
92.25,-0.001085
92.26,-0.000083
92.27,-0.002081
92.28,0.00192
92.29,-0.003078
92.3,-0.002076
92.31,-0.001075
92.32,-0.005073
92.33,-0.006071
92.34,-0.00907
92.35,-0.009068
92.36,-0.012066
92.37,-0.007065
92.38,-0.009063
92.39,-0.007061
92.4,-0.005059
92.41,-0.002058
92.42,-0.002056
92.43,-0.006054
92.44,-0.002053
92.45,0.001949
92.46,0.002951
92.47,-0.001048
92.48,0.001954
92.49,0.001956
92.5,-0.000043
92.51,-0.000041
92.52,-0.000039
92.53,0.001962
92.54,-0.003036
92.55,-0.001034
92.56,-0.005032
92.57,-0.001031
92.58,-0.001029
92.59,-0.002027
92.6,-0.000026
92.61,-0.000024
92.62,-0.003022
92.63,-0.003021
92.64,-0.003019
92.65,-0.002017
92.66,-0.006016
92.67,-0.001014
92.68,-0.002012
92.69,-0.006011
92.7,-0.006009
92.71,-0.002007
92.72,-0.009006
92.73,-0.006004
