Time,Acc
5.94,-0.005641
5.95,-0.00664
5.96,-0.002638
5.97,0.000364
5.98,0.005366
5.99,0.000367
6,0.001369
6.01,0.007371
6.02,0.007372
6.03,0.005374
6.04,0.007376
6.05,0.001377
6.06,0.003379
6.07,0.003381
6.08,0.003382
6.09,0.001384
6.1,-0.002614
6.11,-0.003613
6.12,-0.002611
6.13,-0.002609
6.14,0.000393
6.15,-0.001606
6.16,-0.006604
6.17,-0.003602
6.18,-0.005601
6.19,0.001401
6.2,-0.001597
6.21,0.000404
6.22,-0.003594
6.23,-0.002592
6.24,-0.005591
6.25,-0.003589
6.26,-0.001587
6.27,-0.005586
6.28,-0.002584
6.29,-0.003582
6.3,-0.00358
6.31,-0.005579
6.32,-0.003577
6.33,-0.002575
6.34,-0.002574
6.35,-0.002572
6.36,0.00243
6.37,-0.001569
6.38,0.001433
6.39,-0.003565
6.4,0.001436
6.41,-0.003562
6.42,0.00144
6.43,0.003441
6.44,0.003443
6.45,0.001445
6.46,-0.001554
6.47,0.000448
6.48,0.00045
6.49,0.001452
6.5,0.003453
6.51,0.002455
6.52,0.001457
6.53,-0.001542
6.54,-0.00154
6.55,0.000462
6.56,0.006463
6.57,0.000465
6.58,-0.002533
6.59,-0.007532
6.6,-0.00653
6.61,-0.006528
6.62,-0.007527
6.63,-0.014525
6.64,-0.012523
6.65,-0.015521
6.66,-0.00852
6.67,-0.003518
6.68,-0.005516
6.69,-0.002515
6.7,-0.006513
6.71,0.000489
6.72,0.00049
6.73,0.006492
6.74,0.002494
6.75,0.003495
6.76,0.007497
6.77,0.003499
6.78,0.0055
6.79,0.003502
6.8,0.001504
6.81,-0.001494
6.82,-0.005493
6.83,-0.001491
6.84,0.001511
6.85,-0.001488
6.86,0.001514
6.87,0.000516
6.88,0.000517
6.89,0.000519
6.9,-0.002479
6.91,-0.005478
6.92,-0.002476
6.93,-0.003474
6.94,-0.011473
6.95,-0.008471
6.96,-0.012469
6.97,-0.015467
6.98,-0.007466
6.99,-0.007464
7,-0.008462
7.01,-0.003461
7.02,-0.003459
7.03,-0.001457
7.04,-0.001456
7.05,-0.002454
7.06,0.000548
7.07,0.001549
7.08,0.005551
7.09,0.002553
7.1,0.000554
7.11,0.005556
7.12,-0.001442
7.13,0.002559
7.14,0.001561
7.15,0.002563
7.16,-0.003435
7.17,-0.002434
7.18,0.001568
7.19,-0.00143
7.2,-0.002429
7.21,0.001573
7.22,-0.002425
7.23,0.000576
7.24,-0.003422
7.25,-0.00342
7.26,0.001581
7.27,-0.003417
7.28,-0.005415
7.29,-0.003414
7.3,-0.006412
7.31,-0.00741
7.32,-0.005408
7.33,-0.002407
7.34,-0.003405
7.35,-0.007403
7.36,-0.008402
7.37,-0.0054
7.38,-0.003398
7.39,0.002603
7.4,0.001605
7.41,0.002607
7.42,0.001608
7.43,0.00061
7.44,0.009612
7.45,0.009613
7.46,0.011615
7.47,0.010617
7.48,0.006619
7.49,0.00662
7.5,0.009622
7.51,0.000624
7.52,-0.001375
7.53,-0.005373
7.54,-0.002371
7.55,0.00063
7.56,-0.005368
7.57,-0.003366
7.58,-0.007365
7.59,-0.003363
7.6,-0.002361
7.61,-0.00336
7.62,-0.001358
7.63,-0.003356
7.64,-0.001354
7.65,0.001647
7.66,0.003649
7.67,0.005651
7.68,0.002652
7.69,0.007654
7.7,0.007656
7.71,0.007657
7.72,0.009659
7.73,0.005661
7.74,0.002662
7.75,0.001664
7.76,0.003666
7.77,0.000667
7.78,0.000669
7.79,0.005671
7.8,0.000672
7.81,-0.005326
7.82,0.001676
7.83,-0.001322
7.84,0.005679
7.85,0.000681
7.86,-0.001317
7.87,0.002684
7.88,-0.002314
7.89,-0.002312
7.9,-0.003311
7.91,-0.005309
7.92,-0.007307
7.93,-0.007306
7.94,-0.007304
7.95,-0.003302
7.96,-0.005301
7.97,-0.007299
7.98,-0.003297
7.99,0.000705
8,0.002706
8.01,0.002708
8.02,0.00371
8.03,0.006711
8.04,0.009713
8.05,0.014715
8.06,0.014716
8.07,0.007718
8.08,0.00272
8.09,0.001721
8.1,0.003723
8.11,0.005725
8.12,0.002726
8.13,-0.002272
8.14,-0.00327
8.15,-0.002268
8.16,0.001733
8.17,0.001735
8.18,0.001737
8.19,0.000738
8.2,-0.00126
8.21,-0.001258
8.22,-0.001257
8.23,0.006745
8.24,0.002747
8.25,-0.001252
8.26,-0.00525
8.27,0.001752
8.28,-0.006247
8.29,-0.005245
8.3,-0.007243
8.31,-0.010241
8.32,-0.00224
8.33,-0.003238
8.34,-0.006236
8.35,-0.003235
8.36,-0.003233
8.37,0.002769
8.38,0.00777
8.39,0.007772
8.4,0.007774
8.41,0.003775
8.42,0.006777
8.43,0.007779
8.44,0.00678
8.45,0.003782
8.46,0.000784
8.47,-0.003215
8.48,-0.005213
8.49,-0.006211
8.5,-0.005209
8.51,-0.002208
8.52,-0.006206
8.53,-0.003204
8.54,-0.001203
8.55,0.003799
8.56,0.002801
8.57,0.005802
8.58,0.003804
8.59,0.003806
8.6,0.006807
8.61,0.006809
8.62,0.002811
8.63,0.001812
8.64,0.002814
8.65,0.001816
8.66,0.000818
8.67,0.005819
8.68,0.001821
8.69,-0.001177
8.7,-0.002176
8.71,-0.003174
8.72,0.001828
8.73,0.001829
8.74,0.002831
8.75,-0.002167
8.76,0.000834
8.77,0.000836
8.78,-0.003162
8.79,0.001839
8.8,-0.001159
8.81,-0.001157
8.82,-0.006155
8.83,-0.003154
8.84,-0.005152
8.85,-0.00515
8.86,-0.007149
8.87,-0.007147
8.88,-0.002145
8.89,-0.003144
8.9,-0.002142
8.91,-0.00214
8.92,-0.002139
8.93,-0.002137
8.94,0.002865
8.95,0.003866
8.96,0.007868
8.97,0.01187
8.98,0.009872
8.99,0.006873
9,0.006875
9.01,0.006877
9.02,0.015878
9.03,0.01088
9.04,0.002882
9.05,0.000883
9.06,-0.005115
9.07,0.001887
9.08,0.005888
9.09,-0.00111
9.1,-0.003108
9.11,-0.002107
9.12,-0.003105
9.13,0.001897
9.14,-0.001102
9.15,-0.0021
9.16,-0.007098
9.17,-0.007096
9.18,-0.001095
9.19,0.001907
9.2,-0.005091
9.21,-0.00709
9.22,-0.008088
9.23,-0.008086
9.24,-0.003085
