Time(s),Acceleration
83.75,0.01792798
83.76,0.01699348
83.77,0.01513316
83.78,0.012751844
83.79,0.010256095
83.8,0.007950584
83.81,0.005965159
83.82,0.004236288
83.83,0.002557755
83.84,0.000692892
83.85,-0.001490121
83.86,-0.003917004
83.87,-0.006287896
83.88,-0.008153291
83.89,-0.009058877
83.9,-0.008705195
83.91,-0.007061748
83.92,-0.004391394
83.93,-0.001175352
83.94,0.002030299
83.95,0.004748366
83.96,0.00668721
83.97,0.007770281
83.98,0.00809428
83.99,0.007846976
84,0.007222767
84.01,0.00636606
84.02,0.005356302
84.03,0.004229475
84.04,0.003015479
84.05,0.001765695
84.06,0.000553541
84.07,-0.000552145
84.08,-0.001525529
84.09,-0.002412449
84.1,-0.003332167
84.11,-0.004446598
84.12,-0.005905693
84.13,-0.007788975
84.14,-0.010065962
84.15,-0.012589719
84.16,-0.015122904
84.17,-0.017383487
84.18,-0.019093985
84.19,-0.020022364
84.2,-0.020009058
84.21,-0.018979598
84.22,-0.016945769
84.23,-0.013999769
84.24,-0.010304226
84.25,-0.006076818
84.26,-0.001565995
84.27,0.002982217
84.28,0.007358736
84.29,0.011414374
84.3,0.015060729
84.31,0.018247777
84.32,0.020927644
84.33,0.023020961
84.34,0.024402929
84.35,0.024920064
84.36,0.024436272
84.37,0.022892123
84.38,0.020351531
84.39,0.01701259
84.4,0.013174288
84.41,0.009170692
84.42,0.005298286
84.43,0.001763994
84.44,-0.00132911
84.45,-0.003958808
84.46,-0.006140175
84.47,-0.00788589
84.48,-0.009190319
84.49,-0.010042813
84.5,-0.010459054
84.51,-0.010509439
84.52,-0.010325148
84.53,-0.010073834
84.54,-0.009911679
84.55,-0.009929893
84.56,-0.01011711
84.57,-0.010353322
84.58,-0.010439003
84.59,-0.010150397
84.6,-0.009304123
84.61,-0.007813214
84.62,-0.00572029
84.63,-0.003199325
84.64,-0.000524441
84.65,0.001987008
84.66,0.004041147
84.67,0.005424307
84.68,0.006034372
84.69,0.005882258
84.7,0.005070094
84.71,0.003758318
84.72,0.002132904
84.73,0.000379442
84.74,-0.001333844
84.75,-0.002865032
84.76,-0.004101706
84.77,-0.004960893
84.78,-0.005387447
84.79,-0.005351679
84.8,-0.004846713
84.81,-0.003886527
84.82,-0.002506257
84.83,-0.000765979
84.84,0.001242748
84.85,0.003391516
84.86,0.005517492
84.87,0.00743983
84.88,0.00899081
84.89,0.010053541
84.9,0.010590931
84.91,0.010651033
84.92,0.010343216
84.93,0.009793334
84.94,0.009096415
84.95,0.008286958
84.96,0.007339349
84.97,0.006198111
84.98,0.004824953
84.99,0.003241905
85,0.001550282
85.01,-8.55E-05
85.02,-0.001485515
85.03,-0.002515389
85.04,-0.003136521
85.05,-0.003424228
85.06,-0.003545434
85.07,-0.003703227
85.08,-0.004068463
85.09,-0.004723295
85.1,-0.005636382
85.11,-0.006677087
85.12,-0.00766148
85.13,-0.008411948
85.14,-0.008808494
85.15,-0.008814174
85.16,-0.00846791
85.17,-0.0078513
85.18,-0.007046626
85.19,-0.006106176
85.2,-0.005046296
85.21,-0.003866424
85.22,-0.002580623
85.23,-0.001243474
85.24,4.38E-05
85.25,0.001150676
85.26,0.001949885
85.27,0.002352089
85.28,0.002328866
85.29,0.001918236
85.3,0.001214401
85.31,0.00034896
85.32,-0.000528627
85.33,-0.001266997
85.34,-0.001725545
85.35,-0.001786821
85.36,-0.001371125
85.37,-0.000452454
85.38,0.000929044
85.39,0.002664882
85.4,0.004591338
85.41,0.006517334
